Beta,Bin,Start,End,Count
5.0,2,671.6666666666667,993.3333333333334,1
5.0,3,993.3333333333334,1315.0,1
5.0,4,1315.0,1636.6666666666667,1
5.0,5,1636.6666666666667,1958.3333333333335,3
5.0,6,1958.3333333333335,2280.0,0
5.0,7,2280.0,2601.666666666667,2
5.0,8,2601.666666666667,2923.3333333333335,2
5.0,9,2923.3333333333335,3245.0,0
5.0,10,3245.0,3566.666666666667,0
5.0,11,3566.666666666667,3888.3333333333335,0
5.0,12,3888.3333333333335,4210.0,0
5.0,13,4210.0,4531.666666666667,0
5.0,14,4531.666666666667,4853.333333333334,0
5.0,15,4853.333333333334,5175.0,0
5.0,16,5175.0,5496.666666666667,0
5.0,17,5496.666666666667,5818.333333333334,0
5.0,18,5818.333333333334,6140.0,0
5.0,19,6140.0,6461.666666666667,0
5.0,20,6461.666666666667,6783.333333333334,0
5.0,21,6783.333333333334,7105.0,0
5.0,22,7105.0,7426.666666666667,0
5.0,23,7426.666666666667,7748.333333333334,0
5.0,24,7748.333333333334,8070.0,0
5.0,25,8070.0,8391.666666666668,0
5.0,26,8391.666666666668,8713.333333333334,1
5.0,27,8713.333333333334,9035.0,0
5.0,28,9035.0,9356.666666666668,1
5.0,29,9356.666666666668,9678.333333333334,0
5.0,30,9678.333333333334,10000.0,33
10.0,1,64.0,395.2,3
10.0,2,395.2,726.4,3
10.0,3,726.4,1057.6,1
10.0,4,1057.6,1388.8,1
10.0,5,1388.8,1720.0,0
10.0,6,1720.0,2051.2,1
10.0,7,2051.2,2382.4,1
10.0,8,2382.4,2713.6,2
10.0,9,2713.6,3044.7999999999997,0
10.0,10,3044.7999999999997,3376.0,2
10.0,11,3376.0,3707.2,0
10.0,12,3707.2,4038.3999999999996,0
10.0,13,4038.3999999999996,4369.599999999999,0
10.0,14,4369.599999999999,4700.8,0
10.0,15,4700.8,5032.0,0
10.0,16,5032.0,5363.2,0
10.0,17,5363.2,5694.4,0
10.0,18,5694.4,6025.599999999999,0
10.0,19,6025.599999999999,6356.8,0
10.0,20,6356.8,6688.0,0
10.0,21,6688.0,7019.2,0
10.0,22,7019.2,7350.4,0
10.0,23,7350.4,7681.599999999999,0
10.0,24,7681.599999999999,8012.799999999999,0
10.0,25,8012.799999999999,8344.0,0
10.0,26,8344.0,8675.199999999999,0
10.0,27,8675.199999999999,9006.4,0
10.0,28,9006.4,9337.6,1
10.0,29,9337.6,9668.8,1
10.0,30,9668.8,10000.0,34
15.0,1,242.0,567.2666666666667,4
15.0,2,567.2666666666667,892.5333333333333,3
15.0,3,892.5333333333333,1217.8,1
15.0,4,1217.8,1543.0666666666666,2
15.0,5,1543.0666666666666,1868.3333333333333,1
15.0,6,1868.3333333333333,2193.6,2
15.0,7,2193.6,2518.866666666667,2
15.0,8,2518.866666666667,2844.133333333333,0
15.0,9,2844.133333333333,3169.3999999999996,1
15.0,10,3169.3999999999996,3494.6666666666665,0
15.0,11,3494.6666666666665,3819.9333333333334,0
15.0,12,3819.9333333333334,4145.2,1
15.0,13,4145.2,4470.466666666666,1
15.0,14,4470.466666666666,4795.733333333334,0
15.0,15,4795.733333333334,5121.0,0
15.0,16,5121.0,5446.266666666666,0
15.0,17,5446.266666666666,5771.533333333333,0
15.0,18,5771.533333333333,6096.799999999999,0
15.0,19,6096.799999999999,6422.066666666667,0
15.0,20,6422.066666666667,6747.333333333333,0
15.0,21,6747.333333333333,7072.599999999999,0
15.0,22,7072.599999999999,7397.866666666667,0
15.0,23,7397.866666666667,7723.133333333333,0
15.0,24,7723.133333333333,8048.4,0
15.0,25,8048.4,8373.666666666666,0
15.0,26,8373.666666666666,8698.933333333332,0
15.0,27,8698.933333333332,9024.199999999999,0
15.0,28,9024.199999999999,9349.466666666667,0
15.0,29,9349.466666666667,9674.733333333334,1
15.0,30,9674.733333333334,10000.0,31
20.0,1,270.0,594.3333333333333,5
20.0,2,594.3333333333333,918.6666666666666,3
20.0,3,918.6666666666666,1243.0,4
20.0,4,1243.0,1567.3333333333333,4
20.0,5,1567.3333333333333,1891.6666666666665,1
20.0,6,1891.6666666666665,2216.0,0
20.0,7,2216.0,2540.333333333333,0
20.0,8,2540.333333333333,2864.6666666666665,0
20.0,9,2864.6666666666665,3189.0,0
20.0,10,3189.0,3513.333333333333,1
20.0,11,3513.333333333333,3837.6666666666665,1
20.0,12,3837.6666666666665,4162.0,0
20.0,13,4162.0,4486.333333333333,1
20.0,14,4486.333333333333,4810.666666666666,0
20.0,15,4810.666666666666,5135.0,0
20.0,16,5135.0,5459.333333333333,1
20.0,17,5459.333333333333,5783.666666666666,0
20.0,18,5783.666666666666,6108.0,0
20.0,19,6108.0,6432.333333333333,0
20.0,20,6432.333333333333,6756.666666666666,0
20.0,21,6756.666666666666,7081.0,0
20.0,22,7081.0,7405.333333333333,0
20.0,23,7405.333333333333,7729.666666666666,0
20.0,24,7729.666666666666,8054.0,0
20.0,25,8054.0,8378.333333333332,1
20.0,26,8378.333333333332,8702.666666666666,0
20.0,27,8702.666666666666,9027.0,0
20.0,28,9027.0,9351.333333333332,0
20.0,29,9351.333333333332,9675.666666666666,0
20.0,30,9675.666666666666,10000.0,28
