Beta,Bin,Start,End,Count
1.0,22,-19381.6,-19352.533333333333,0
1.0,23,-19352.533333333333,-19323.466666666667,0
1.0,24,-19323.466666666667,-19294.4,0
1.0,25,-19294.4,-19265.333333333332,0
1.0,26,-19265.333333333332,-19236.266666666666,0
1.0,27,-19236.266666666666,-19207.2,0
1.0,28,-19207.2,-19178.133333333335,0
1.0,29,-19178.133333333335,-19149.066666666666,0
1.0,30,-19149.066666666666,-19120.0,4
5.0,1,-20000.0,-19973.066666666666,33
5.0,2,-19973.066666666666,-19946.133333333335,0
5.0,3,-19946.133333333335,-19919.2,0
5.0,4,-19919.2,-19892.266666666666,0
5.0,5,-19892.266666666666,-19865.333333333332,0
5.0,6,-19865.333333333332,-19838.4,0
5.0,7,-19838.4,-19811.466666666667,1
5.0,8,-19811.466666666667,-19784.533333333333,0
5.0,9,-19784.533333333333,-19757.6,0
5.0,10,-19757.6,-19730.666666666668,1
5.0,11,-19730.666666666668,-19703.733333333334,0
5.0,12,-19703.733333333334,-19676.8,0
5.0,13,-19676.8,-19649.866666666665,0
5.0,14,-19649.866666666665,-19622.933333333334,0
5.0,15,-19622.933333333334,-19596.0,0
5.0,16,-19596.0,-19569.066666666666,13
5.0,17,-19569.066666666666,-19542.133333333335,0
5.0,18,-19542.133333333335,-19515.2,0
5.0,19,-19515.2,-19488.266666666666,0
5.0,20,-19488.266666666666,-19461.333333333332,0
5.0,21,-19461.333333333332,-19434.4,0
5.0,22,-19434.4,-19407.466666666667,0
5.0,23,-19407.466666666667,-19380.533333333333,0
5.0,24,-19380.533333333333,-19353.6,0
5.0,25,-19353.6,-19326.666666666668,0
5.0,26,-19326.666666666668,-19299.733333333334,0
5.0,27,-19299.733333333334,-19272.8,0
5.0,28,-19272.8,-19245.866666666665,0
5.0,29,-19245.866666666665,-19218.933333333334,0
5.0,30,-19218.933333333334,-19192.0,2
10.0,1,-20000.0,-19973.333333333332,34
10.0,2,-19973.333333333332,-19946.666666666668,0
10.0,3,-19946.666666666668,-19920.0,0
10.0,4,-19920.0,-19893.333333333332,0
10.0,5,-19893.333333333332,-19866.666666666668,0
10.0,6,-19866.666666666668,-19840.0,1
10.0,7,-19840.0,-19813.333333333332,0
10.0,8,-19813.333333333332,-19786.666666666668,1
10.0,9,-19786.666666666668,-19760.0,0
10.0,10,-19760.0,-19733.333333333332,0
10.0,11,-19733.333333333332,-19706.666666666668,0
10.0,12,-19706.666666666668,-19680.0,0
10.0,13,-19680.0,-19653.333333333332,0
10.0,14,-19653.333333333332,-19626.666666666668,0
10.0,15,-19626.666666666668,-19600.0,0
10.0,16,-19600.0,-19573.333333333332,12
10.0,17,-19573.333333333332,-19546.666666666668,0
10.0,18,-19546.666666666668,-19520.0,0
10.0,19,-19520.0,-19493.333333333332,0
10.0,20,-19493.333333333332,-19466.666666666668,0
10.0,21,-19466.666666666668,-19440.0,0
10.0,22,-19440.0,-19413.333333333332,0
10.0,23,-19413.333333333332,-19386.666666666668,0
10.0,24,-19386.666666666668,-19360.0,0
10.0,25,-19360.0,-19333.333333333332,0
10.0,26,-19333.333333333332,-19306.666666666668,0
10.0,27,-19306.666666666668,-19280.0,0
10.0,28,-19280.0,-19253.333333333332,0
10.0,29,-19253.333333333332,-19226.666666666668,0
